,city-cn,lat,lng
0,Malisheve-Kosovo,42.4822,20.7458
1,Prizren-Kosovo,42.2139,20.7397
2,Zubin Potok-Kosovo,42.9144,20.6897
3,Kamenice-Kosovo,42.5781,21.5803
4,Viti-Kosovo,42.3214,21.3583
5,Shterpce-Kosovo,42.2394,21.0272
6,Shtime-Kosovo,42.4331,21.0397
7,Vushtrri-Kosovo,42.8231,20.9675
8,Dragash-Kosovo,42.0265,20.6533
9,Podujeve-Kosovo,42.9111,21.1899
10,Fushe Kosove-Kosovo,42.6639,21.0961
11,Kacanik-Kosovo,42.2319,21.2594
12,Kline-Kosovo,42.6217,20.5778
13,Leposaviq-Kosovo,43.1039,20.8028
14,Peje-Kosovo,42.66,20.2922
15,Rahovec-Kosovo,42.3994,20.6547
16,Gjilan-Kosovo,42.4689,21.4633
17,Lipjan-Kosovo,42.5217,21.1258
18,Obiliq-Kosovo,42.6869,21.0703
19,Gjakove-Kosovo,42.3803,20.4308
20,Pristina-Kosovo,42.6666,21.1724
21,Decan-Kosovo,42.5378,20.2911
22,Istog-Kosovo,42.7808,20.4875
23,Hani i Elezit-Kosovo,42.15,21.2967
24,Junik-Kosovo,42.4758,20.2772
25,Kllokot-Kosovo,42.3714,21.3744
26,Mamushe-Kosovo,42.3308,20.7269
27,Partesh-Kosovo,42.4019,21.4336
28,Ranillug-Kosovo,42.4922,21.5989
29,Ferizaj-Kosovo,42.3706,21.1553
30,Zvecan-Kosovo,42.9075,20.8403
31,Suhareke-Kosovo,42.3586,20.825
32,Gllogovc-Kosovo,42.6283,20.8939
33,Mitrovice-Kosovo,42.8833,20.8667
34,Skenderaj-Kosovo,42.7467,20.7886
35,Novoberde-Kosovo,42.6178,21.4197
36,Gracanice-Kosovo,42.6011,21.1958
37,Longyearbyen-Svalbard,78.2167,15.6333
38,Al Quds-West Bank,31.7764,35.2269
39,Sanaa-Yemen,15.3547,44.2066
40,Marib-Yemen,15.421,45.334
41,Al Jabin-Yemen,14.704,43.599
42,Hajjah-Yemen,15.6917,43.6021
43,Ibb-Yemen,13.9759,44.1709
44,Al Hudaydah-Yemen,14.7979,42.953
45,Lahij-Yemen,13.0582,44.8838
46,Al Mahwit-Yemen,15.4701,43.5448
47,Taizz-Yemen,13.6045,44.0394
48,Sadah-Yemen,16.9398,43.8498
49,Dhamar-Yemen,14.5575,44.3875
50,`Amran-Yemen,15.6594,43.9439
51,Ad Dali`-Yemen,13.6957,44.7314
52,Saywun-Yemen,15.943,48.7873
53,Al Bayda-Yemen,13.979,45.574
54,Zinjibar-Yemen,13.1287,45.3807
55,Rida-Yemen,14.4295,44.8341
56,'Ataq-Yemen,14.55,46.8
57,Al Ghaydah-Yemen,16.2394,52.1638
58,Sayhut-Yemen,15.2105,51.2454
59,Al Mukalla-Yemen,14.5412,49.1259
60,Al Hazm-Yemen,16.1641,44.7769
61,Zabid-Yemen,14.1951,43.3155
62,Aden-Yemen,12.7797,45.0095
63,Hadiboh-Yemen,12.6519,54.0239
